model_name,backbone,epoch,accuracy,macro_f1,timestamp,sedan_f1,mpv_f1,suv_f1,pickup_f1,truck_f1,bus_f1
resnet50,cnn,16,0.7072243346007605,0.774106093671311,2026-01-27 13:23:34,0.5588235294117647,0.7297297297297297,0.6583850931677019,0.8,0.9565217391304348,0.9411764705882353
resnet50,cnn,17,0.7110266159695817,0.7776756841718478,2026-01-27 13:23:38,0.5846153846153846,0.7377777777777778,0.6459627329192547,0.8,0.9565217391304348,0.9411764705882353
resnet50,cnn,18,0.7338403041825095,0.790512073888033,2026-01-27 13:23:43,0.5846153846153846,0.7705627705627706,0.6666666666666666,0.8235294117647058,0.9565217391304348,0.9411764705882353
resnet50,cnn,19,0.714828897338403,0.7808711646027988,2026-01-27 13:23:46,0.5507246376811594,0.7574468085106383,0.6308724832214765,0.8484848484848485,0.9565217391304348,0.9411764705882353
resnet50,cnn,20,0.7224334600760456,0.789218452004989,2026-01-27 13:23:50,0.5588235294117647,0.759493670886076,0.6442953020134228,0.875,0.9565217391304348,0.9411764705882353
resnet50,cnn,21,0.7300380228136882,0.7900151947804184,2026-01-27 13:23:54,0.5454545454545454,0.7736625514403292,0.6482758620689655,0.875,0.9565217391304348,0.9411764705882353
resnet50,cnn,22,0.7262357414448669,0.7978692434828337,2026-01-27 13:23:57,0.5588235294117647,0.7586206896551724,0.6535947712418301,0.875,1.0,0.9411764705882353
resnet50,cnn,23,0.7338403041825095,0.8017443592942647,2026-01-27 13:24:01,0.5671641791044776,0.7692307692307693,0.6578947368421053,0.875,1.0,0.9411764705882353
resnet50,cnn,24,0.7414448669201521,0.8040347049335649,2026-01-27 13:24:05,0.5671641791044776,0.7833333333333333,0.6575342465753424,0.875,1.0,0.9411764705882353
resnet50,cnn,25,0.7338403041825095,0.7955500808550422,2026-01-27 13:24:08,0.5671641791044776,0.7711864406779662,0.6622516556291391,0.875,0.9565217391304348,0.9411764705882353
resnet50,cnn,26,0.7414448669201521,0.8125675616761119,2026-01-27 13:24:12,0.5846153846153846,0.7631578947368421,0.6832298136645962,0.9032258064516129,1.0,0.9411764705882353
resnet50,cnn,27,0.7376425855513308,0.7928370007520292,2026-01-27 13:24:16,0.5671641791044776,0.7815126050420168,0.6621621621621622,0.8484848484848485,0.9565217391304348,0.9411764705882353
resnet50,cnn,28,0.7338403041825095,0.7925631217113667,2026-01-27 13:24:20,0.5757575757575758,0.7711864406779662,0.6622516556291391,0.8484848484848485,0.9565217391304348,0.9411764705882353
resnet50,cnn,29,0.7338403041825095,0.7941177481326526,2026-01-27 13:24:23,0.5846153846153846,0.7672413793103449,0.6666666666666666,0.8484848484848485,0.9565217391304348,0.9411764705882353
resnet50,cnn,30,0.7414448669201521,0.8010520953148251,2026-01-27 13:24:27,0.5846153846153846,0.774468085106383,0.6710526315789473,0.875,0.96,0.9411764705882353
resnet50,cnn,test,0.7490494296577946,0.8106814521568811,2026-01-27 13:24:28,0.6666666666666666,0.7348837209302326,0.7349397590361446,0.8387096774193549,1.0,0.8888888888888888
